variant,fold_id,test_season,transformed_feature,coefficient
lof__without_coaching_context,test_2024,2024,form_defense_successRate_diff__missing,0.0033255740028074196
lof__without_coaching_context,test_2024,2024,form_offense_explosiveness_diff,-0.00787957038264101
lof__without_coaching_context,test_2024,2024,form_offense_explosiveness_diff__missing,0.0033255740028074196
lof__without_coaching_context,test_2024,2024,form_defense_explosiveness_diff,0.0007503824588035884
lof__without_coaching_context,test_2024,2024,form_defense_explosiveness_diff__missing,0.0033255740028074196
lof__without_team_form_efficiency,test_2024,2024,opening_coach_tenure_seasons_diff,0.0011331104882812443
lof__without_team_form_efficiency,test_2024,2024,opening_coach_tenure_seasons_diff__missing,0.0010485027541119523
lof__without_team_form_efficiency,test_2024,2024,opening_first_year_coach_diff,-0.0033120096687357416
lof__without_team_form_efficiency,test_2024,2024,opening_first_year_coach_diff__missing,0.0010485027541119523
single__coaching_context__opening_coach_tenure_seasons_diff,test_2024,2024,opening_coach_tenure_seasons_diff,0.0013119819637360563
single__coaching_context__opening_coach_tenure_seasons_diff,test_2024,2024,opening_coach_tenure_seasons_diff__missing,0.0010511733155948266
single__coaching_context__opening_first_year_coach_diff,test_2024,2024,opening_first_year_coach_diff,-0.0033735504548118088
single__coaching_context__opening_first_year_coach_diff,test_2024,2024,opening_first_year_coach_diff__missing,0.0010511552481528763
single__team_form_efficiency__form_defense_explosiveness_diff,test_2024,2024,form_defense_explosiveness_diff,0.0006095528975882646
single__team_form_efficiency__form_defense_explosiveness_diff,test_2024,2024,form_defense_explosiveness_diff__missing,0.003525767564469919
single__team_form_efficiency__form_defense_ppa_diff,test_2024,2024,form_defense_ppa_diff,-0.0006797688806623936
single__team_form_efficiency__form_defense_ppa_diff,test_2024,2024,form_defense_ppa_diff__missing,0.003526020162925717
single__team_form_efficiency__form_defense_successRate_diff,test_2024,2024,form_defense_successRate_diff,-0.0006646323911744908
single__team_form_efficiency__form_defense_successRate_diff,test_2024,2024,form_defense_successRate_diff__missing,0.003526039768789702
single__team_form_efficiency__form_offense_explosiveness_diff,test_2024,2024,form_offense_explosiveness_diff,-0.007669683509702309
single__team_form_efficiency__form_offense_explosiveness_diff,test_2024,2024,form_offense_explosiveness_diff__missing,0.0035269631697584934
single__team_form_efficiency__form_offense_ppa_diff,test_2024,2024,form_offense_ppa_diff,-0.005251892429486616
single__team_form_efficiency__form_offense_ppa_diff,test_2024,2024,form_offense_ppa_diff__missing,0.0035249069401439574
single__team_form_efficiency__form_offense_successRate_diff,test_2024,2024,form_offense_successRate_diff,0.007842169340498055
single__team_form_efficiency__form_offense_successRate_diff,test_2024,2024,form_offense_successRate_diff__missing,0.003525444062343424
combined,test_2025,2025,form_offense_ppa_diff,-0.0035280522489948415
combined,test_2025,2025,form_offense_ppa_diff__missing,0.0011265297883670331
combined,test_2025,2025,form_defense_ppa_diff,0.0010232946503571782
combined,test_2025,2025,form_defense_ppa_diff__missing,0.0011265297883670331
combined,test_2025,2025,form_offense_successRate_diff,0.008023233605415684
combined,test_2025,2025,form_offense_successRate_diff__missing,0.0011265297883670331
combined,test_2025,2025,form_defense_successRate_diff,0.00016546729474631406
combined,test_2025,2025,form_defense_successRate_diff__missing,0.0011265297883670331
combined,test_2025,2025,form_offense_explosiveness_diff,-0.007886947771304316
combined,test_2025,2025,form_offense_explosiveness_diff__missing,0.0011265297883670331
combined,test_2025,2025,form_defense_explosiveness_diff,0.00028485169937846955
combined,test_2025,2025,form_defense_explosiveness_diff__missing,0.0011265297883670331
combined,test_2025,2025,opening_coach_tenure_seasons_diff,-0.00390919753318366
combined,test_2025,2025,opening_coach_tenure_seasons_diff__missing,0.0015229248660044666
combined,test_2025,2025,opening_first_year_coach_diff,-0.005918241233404417
combined,test_2025,2025,opening_first_year_coach_diff__missing,0.0015229248660044666
family__coaching_context,test_2025,2025,opening_coach_tenure_seasons_diff,-0.0038988128309902226
family__coaching_context,test_2025,2025,opening_coach_tenure_seasons_diff__missing,0.0015384541338183805
family__coaching_context,test_2025,2025,opening_first_year_coach_diff,-0.005959948681190886
family__coaching_context,test_2025,2025,opening_first_year_coach_diff__missing,0.0015384541338183805
family__team_form_efficiency,test_2025,2025,form_offense_ppa_diff,-0.003477303369500216
family__team_form_efficiency,test_2025,2025,form_offense_ppa_diff__missing,0.0011359010673252035
family__team_form_efficiency,test_2025,2025,form_defense_ppa_diff,0.0010140349353941567
family__team_form_efficiency,test_2025,2025,form_defense_ppa_diff__missing,0.0011359010673252035
family__team_form_efficiency,test_2025,2025,form_offense_successRate_diff,0.008105584645832895
family__team_form_efficiency,test_2025,2025,form_offense_successRate_diff__missing,0.0011359010673252035
family__team_form_efficiency,test_2025,2025,form_defense_successRate_diff,0.0001767254370520027
family__team_form_efficiency,test_2025,2025,form_defense_successRate_diff__missing,0.0011359010673252035
family__team_form_efficiency,test_2025,2025,form_offense_explosiveness_diff,-0.007853933225813696
family__team_form_efficiency,test_2025,2025,form_offense_explosiveness_diff__missing,0.0011359010673252035
family__team_form_efficiency,test_2025,2025,form_defense_explosiveness_diff,0.00032474995475993186
family__team_form_efficiency,test_2025,2025,form_defense_explosiveness_diff__missing,0.0011359010673252035
lof__without_coaching_context,test_2025,2025,form_offense_ppa_diff,-0.003477303369500216
lof__without_coaching_context,test_2025,2025,form_offense_ppa_diff__missing,0.0011359010673252035
lof__without_coaching_context,test_2025,2025,form_defense_ppa_diff,0.0010140349353941567
lof__without_coaching_context,test_2025,2025,form_defense_ppa_diff__missing,0.0011359010673252035
lof__without_coaching_context,test_2025,2025,form_offense_successRate_diff,0.008105584645832895
lof__without_coaching_context,test_2025,2025,form_offense_successRate_diff__missing,0.0011359010673252035
lof__without_coaching_context,test_2025,2025,form_defense_successRate_diff,0.0001767254370520027
lof__without_coaching_context,test_2025,2025,form_defense_successRate_diff__missing,0.0011359010673252035
lof__without_coaching_context,test_2025,2025,form_offense_explosiveness_diff,-0.007853933225813696
lof__without_coaching_context,test_2025,2025,form_offense_explosiveness_diff__missing,0.0011359010673252035
lof__without_coaching_context,test_2025,2025,form_defense_explosiveness_diff,0.00032474995475993186
lof__without_coaching_context,test_2025,2025,form_defense_explosiveness_diff__missing,0.0011359010673252035
lof__without_team_form_efficiency,test_2025,2025,opening_coach_tenure_seasons_diff,-0.0038988128309902226
lof__without_team_form_efficiency,test_2025,2025,opening_coach_tenure_seasons_diff__missing,0.0015384541338183805
lof__without_team_form_efficiency,test_2025,2025,opening_first_year_coach_diff,-0.005959948681190886
lof__without_team_form_efficiency,test_2025,2025,opening_first_year_coach_diff__missing,0.0015384541338183805
single__coaching_context__opening_coach_tenure_seasons_diff,test_2025,2025,opening_coach_tenure_seasons_diff,-0.0035782304440747457
single__coaching_context__opening_coach_tenure_seasons_diff,test_2025,2025,opening_coach_tenure_seasons_diff__missing,0.001544129444876762
single__coaching_context__opening_first_year_coach_diff,test_2025,2025,opening_first_year_coach_diff,-0.005748442622521339
single__coaching_context__opening_first_year_coach_diff,test_2025,2025,opening_first_year_coach_diff__missing,0.001544301224017709
single__team_form_efficiency__form_defense_explosiveness_diff,test_2025,2025,form_defense_explosiveness_diff,0.00029109771676447534
single__team_form_efficiency__form_defense_explosiveness_diff,test_2025,2025,form_defense_explosiveness_diff__missing,0.0012011393808436803
single__team_form_efficiency__form_defense_ppa_diff,test_2025,2025,form_defense_ppa_diff,0.0008961937115471683
single__team_form_efficiency__form_defense_ppa_diff,test_2025,2025,form_defense_ppa_diff__missing,0.0012008170342964648
single__team_form_efficiency__form_defense_successRate_diff,test_2025,2025,form_defense_successRate_diff,7.64704987734324e-05
single__team_form_efficiency__form_defense_successRate_diff,test_2025,2025,form_defense_successRate_diff__missing,0.001201145239463555
single__team_form_efficiency__form_offense_explosiveness_diff,test_2025,2025,form_offense_explosiveness_diff,-0.007522920556702344
single__team_form_efficiency__form_offense_explosiveness_diff,test_2025,2025,form_offense_explosiveness_diff__missing,0.0012021719265044787
single__team_form_efficiency__form_offense_ppa_diff,test_2025,2025,form_offense_ppa_diff,-0.0031371600669622976
single__team_form_efficiency__form_offense_ppa_diff,test_2025,2025,form_offense_ppa_diff__missing,0.0012006218545637722
single__team_form_efficiency__form_offense_successRate_diff,test_2025,2025,form_offense_successRate_diff,0.007369363598184646
single__team_form_efficiency__form_offense_successRate_diff,test_2025,2025,form_offense_successRate_diff__missing,0.001200039370589008
