variant,slice,n,status,delta_log_loss,delta_brier,delta_accuracy
single__away_sos,non_neutral,2934,ok,2.6717057282965584e-05,9.223840846533937e-06,0.0006816632583502846
single__away_sos,favorite_lt_3,476,ok,3.345220297135132e-05,1.6364552127223764e-05,0.004201680672268893
single__away_sos,favorite_3_to_7,1019,ok,3.887064685392794e-05,1.7598762537623935e-05,-0.0009813542688911214
single__away_sos,favorite_gt_7,1700,ok,3.174793622567895e-05,8.462680046644744e-06,0.0
single__away_sos,favorite_missing_spread,0,empty,,,
single__away_sos,verified_espn_pickem,0,empty,,,
single__away_sos,home_conference__Big Ten,413,ok,0.0001618029829302814,6.289158967029418e-05,0.0
single__away_sos,home_conference__ACC,386,ok,2.9623568494341335e-05,2.5818050575387996e-05,-0.002590673575129543
single__away_sos,home_conference__SEC,372,ok,0.00011542727162938693,3.671911139663253e-05,0.0026881720430107503
single__home_days_rest,overall,3195,ok,4.9009315765458084e-05,1.573300116780585e-05,0.001251956181533731
single__home_days_rest,weeks_1_3,818,ok,-6.790060717842827e-05,-3.4612412551232596e-05,0.0012224938875305957
single__home_days_rest,weeks_4_plus,2377,ok,8.924167460777621e-05,3.305843171982903e-05,0.0012620950778292617
single__home_days_rest,neutral_site,261,ok,0.00019498609590395954,4.689407574165472e-05,0.0
single__home_days_rest,non_neutral,2934,ok,3.6023651274641466e-05,1.2961003736405852e-05,0.0013633265167006803
single__home_days_rest,favorite_lt_3,476,ok,4.968278513195479e-05,2.073011324454921e-05,0.010504201680672343
single__home_days_rest,favorite_3_to_7,1019,ok,0.00022450217600533673,8.548422182716453e-05,-0.0009813542688911214
single__home_days_rest,favorite_gt_7,1700,ok,-5.637174070671769e-05,-2.7475892479533748e-05,0.0
single__home_days_rest,favorite_missing_spread,0,empty,,,
single__home_days_rest,verified_espn_pickem,0,empty,,,
single__home_days_rest,home_conference__Big Ten,413,ok,0.00011188921194649204,4.698892733265292e-05,0.002421307506053294
single__home_days_rest,home_conference__ACC,386,ok,-3.0478427420543852e-05,-3.306888246551454e-05,0.0
single__home_days_rest,home_conference__SEC,372,ok,4.1023316571742185e-05,7.430321703943976e-06,0.0026881720430107503
single__away_days_rest,overall,3195,ok,4.404207787478409e-05,1.281606078273878e-05,0.000625978090766921
single__away_days_rest,weeks_1_3,818,ok,0.00012520637164814552,5.075211636249022e-05,-0.0012224938875305957
single__away_days_rest,weeks_4_plus,2377,ok,1.6110907362976157e-05,-2.389217432230417e-07,0.0012620950778292617
single__away_days_rest,neutral_site,261,ok,0.0005696480242974866,0.00021328246483293123,-0.003831417624520994
single__away_days_rest,non_neutral,2934,ok,-2.7142793221912598e-06,-5.016840191024441e-06,0.0010224948875254825
single__away_days_rest,favorite_lt_3,476,ok,-4.025517855033023e-05,-2.2852165959874604e-05,0.006302521008403339
single__away_days_rest,favorite_3_to_7,1019,ok,0.00022429646294575,9.413765422244813e-05,-0.0009813542688911214
single__away_days_rest,favorite_gt_7,1700,ok,-4.0401289377378635e-05,-2.5941955561659125e-05,0.0
single__away_days_rest,favorite_missing_spread,0,empty,,,
single__away_days_rest,verified_espn_pickem,0,empty,,,
single__away_days_rest,home_conference__Big Ten,413,ok,0.00038805382436168934,0.00014970418617407666,0.002421307506053294
single__away_days_rest,home_conference__ACC,386,ok,-0.000411001082172735,-0.00017856428918808231,-0.002590673575129543
single__away_days_rest,home_conference__SEC,372,ok,0.00012111556979049753,4.643267889772873e-05,0.0026881720430107503
single__spread_home,overall,3195,ok,-1.2988085522747106e-05,1.3575934831866476e-06,0.001251956181533731
single__spread_home,weeks_1_3,818,ok,-0.00011847712037049707,-2.225316509693598e-05,0.004889975550122272
single__spread_home,weeks_4_plus,2377,ok,2.3313988732787116e-05,9.482793533077682e-06,0.0
single__spread_home,neutral_site,261,ok,-0.0003993351188014138,-0.00012754390829597395,0.0
single__spread_home,non_neutral,2934,ok,2.1380208848786886e-05,1.2824291494240025e-05,0.0013633265167006803
single__spread_home,favorite_lt_3,476,ok,-4.488975102845405e-05,-2.194115098452798e-05,0.008403361344537785
single__spread_home,favorite_3_to_7,1019,ok,9.895159328321412e-05,4.5149525571386295e-05,0.0
single__spread_home,favorite_gt_7,1700,ok,-7.115357959480706e-05,-1.8368157358700232e-05,0.0
single__spread_home,favorite_missing_spread,0,empty,,,
single__spread_home,verified_espn_pickem,0,empty,,,
single__spread_home,home_conference__Big Ten,413,ok,-0.00025743774192521496,-5.474166781360701e-05,0.0
single__spread_home,home_conference__ACC,386,ok,0.00015413928798724275,2.5085967224391936e-05,0.002590673575129543
single__spread_home,home_conference__SEC,372,ok,-8.239166478585247e-05,-2.020291474458258e-05,0.0026881720430107503
single__total,overall,3195,ok,-1.5778178349412642e-06,-4.61720804106891e-06,0.0
single__total,weeks_1_3,818,ok,4.6423025024167064e-05,-3.117300517746502e-06,0.0012224938875305957
single__total,weeks_4_plus,2377,ok,-1.8096408267886943e-05,-5.133373103788363e-06,-0.00042069835927638355
single__total,neutral_site,261,ok,0.00010063475186106174,8.884218723553827e-05,-0.003831417624520994
single__total,non_neutral,2934,ok,-1.0670347041052963e-05,-1.2931080626998881e-05,0.0003408316291751978
single__total,favorite_lt_3,476,ok,1.804533951577092e-05,1.0037240881166642e-05,0.0021008403361344463
single__total,favorite_3_to_7,1019,ok,3.0085000966684206e-05,1.0178166875929318e-05,-0.0009813542688911214
single__total,favorite_gt_7,1700,ok,-2.605136798661256e-05,-1.7588975527754735e-05,0.0
single__total,favorite_missing_spread,0,empty,,,
single__total,verified_espn_pickem,0,empty,,,
single__total,home_conference__Big Ten,413,ok,-0.00021593238953160343,-0.00010602204659296288,-0.002421307506053294
single__total,home_conference__ACC,386,ok,0.00045017612764819415,0.000206736314570799,0.0
single__total,home_conference__SEC,372,ok,-0.00048454395806113437,-0.00016132194698836866,0.0026881720430107503
single__line_provider_count,overall,3195,ok,-4.523456248728408e-05,-1.2632273639096026e-05,0.000625978090766921
single__line_provider_count,weeks_1_3,818,ok,-0.00010880250798389612,-2.015852967660048e-05,0.0
single__line_provider_count,weeks_4_plus,2377,ok,-2.335884544213407e-05,-1.0042253681730173e-05,0.0008413967185528781
single__line_provider_count,neutral_site,261,ok,-0.0003126451523761675,-0.00015512247379978472,0.0
single__line_provider_count,non_neutral,2934,ok,-2.144650387747582e-05,4.3234964164362566e-08,0.0006816632583502846
single__line_provider_count,favorite_lt_3,476,ok,0.00011064529201521012,5.479707838218495e-05,0.004201680672268893
single__line_provider_count,favorite_3_to_7,1019,ok,-0.000201691075084387,-9.640964580973077e-05,0.0
single__line_provider_count,favorite_gt_7,1700,ok,4.900952567721273e-06,1.8704650290163327e-05,0.0
single__line_provider_count,favorite_missing_spread,0,empty,,,
single__line_provider_count,verified_espn_pickem,0,empty,,,
single__line_provider_count,home_conference__Big Ten,413,ok,-4.065477322234834e-05,1.0700304714228448e-06,0.002421307506053294
single__line_provider_count,home_conference__ACC,386,ok,-0.0001482725655834738,-6.560069350308728e-05,0.0
single__line_provider_count,home_conference__SEC,372,ok,-0.00010109849600692389,-1.785002374865563e-05,0.0
family__site_temporal,overall,3195,ok,0.00012948301319615219,5.842114022258649e-05,0.000625978090766921
family__site_temporal,weeks_1_3,818,ok,0.0006199531567976369,0.0002567674905886719,0.0024449877750611915
family__site_temporal,weeks_4_plus,2377,ok,-3.930309427802037e-05,-9.836038826455118e-06,0.0
family__site_temporal,neutral_site,261,ok,7.164819100924369e-05,8.710421986962702e-05,-0.007662835249042099
family__site_temporal,non_neutral,2934,ok,0.00013462782866680012,5.586957792269587e-05,0.0013633265167006803
family__site_temporal,favorite_lt_3,476,ok,0.0008514168759742313,0.00041879343191358887,0.006302521008403339
family__site_temporal,favorite_3_to_7,1019,ok,0.00015818353878804814,5.658233914196398e-05,-0.0009813542688911214
family__site_temporal,favorite_gt_7,1700,ok,-8.986190107468373e-05,-4.138090245023318e-05,0.0
family__site_temporal,favorite_missing_spread,0,empty,,,
family__site_temporal,verified_espn_pickem,0,empty,,,
family__site_temporal,home_conference__Big Ten,413,ok,0.00014720854863059518,6.319616913855186e-05,-0.002421307506053294
family__site_temporal,home_conference__ACC,386,ok,0.00053930780067446,0.00021413075873841225,0.0
family__site_temporal,home_conference__SEC,372,ok,-0.00033528999070825405,-0.00011588312278013047,0.0026881720430107503
family__history,overall,3195,ok,5.0541884528243486e-05,4.576950123902357e-07,0.001251956181533731
family__history,weeks_1_3,818,ok,-0.0001771857334631477,1.1185496004095796e-05,0.003667481662591676
family__history,weeks_4_plus,2377,ok,0.00012891007616355754,-3.234076637270711e-06,0.00042069835927649457
family__history,neutral_site,261,ok,0.002013121678911989,0.0008855006036763979,0.0
family__history,non_neutral,2934,ok,-0.00012404343460403755,-7.827311588098906e-05,0.0013633265167006803
family__history,favorite_lt_3,476,ok,0.00031985755206886957,0.00014951242365773831,0.010504201680672343
family__history,favorite_3_to_7,1019,ok,-9.104810982318856e-05,-6.68109730046218e-05,-0.0009813542688911214
family__history,favorite_gt_7,1700,ok,6.000420599583389e-05,-9.559980027884496e-07,0.0
family__history,favorite_missing_spread,0,empty,,,
family__history,verified_espn_pickem,0,empty,,,
family__history,home_conference__Big Ten,413,ok,0.0017600723726883816,0.0007583536387070211,0.004842615012106588
family__history,home_conference__ACC,386,ok,4.831772319591199e-05,-0.00010071688674814783,0.0
family__history,home_conference__SEC,372,ok,0.0009803822115275196,0.00033523302349217077,0.0026881720430107503
family__market_context,overall,3195,ok,-6.729678181693899e-05,-1.8602232708359034e-05,0.000625978090766921
family__market_context,weeks_1_3,818,ok,-0.0001850967532887049,-4.6658895483442375e-05,0.0012224938875305957
family__market_context,weeks_4_plus,2377,ok,-2.6758129455073387e-05,-8.947058055458479e-06,0.00042069835927649457
family__market_context,neutral_site,261,ok,-0.0006244798071651791,-0.000199343355221121,0.0
family__market_context,non_neutral,2934,ok,-1.773142066618938e-05,-2.524034693418553e-06,0.0006816632583502846
family__market_context,favorite_lt_3,476,ok,7.970340961560574e-05,4.0885270371493476e-05,0.006302521008403339
family__market_context,favorite_3_to_7,1019,ok,-8.900819471913124e-05,-4.7824729215967254e-05,-0.0009813542688911214
