variant,drop_season,mode,retrain,n,status,log_loss,brier,accuracy,delta_log_loss,delta_brier,delta_accuracy
single__spread_home,2022,aggregate_existing_predictions,False,2481,ok,0.5161131007613659,0.17333654301515566,0.7315598548972189,-6.710920494068517e-05,-5.394369004790844e-06,0.00201531640467556
single__spread_home,2023,aggregate_existing_predictions,False,2408,ok,0.5375087060981897,0.18165258357034672,0.7217607973421927,3.959275547416041e-06,5.881645086691645e-06,0.001245847176079673
single__spread_home,2024,aggregate_existing_predictions,False,2365,ok,0.5335967196606641,0.17958339440996895,0.7260042283298097,-8.683475739346136e-06,-2.4877175255344497e-06,0.0
single__spread_home,2025,aggregate_existing_predictions,False,2331,ok,0.5419620790001297,0.1830508681827881,0.716001716001716,2.2741150719762793e-05,7.771949213419838e-06,0.001716001716001725
single__total,2022,aggregate_existing_predictions,False,2481,ok,0.5162016562282893,0.17335849363861508,0.7303506650544136,2.144626198274935e-05,1.655625445462494e-05,0.0008061265618702906
single__total,2023,aggregate_existing_predictions,False,2408,ok,0.5375235355821759,0.18164256499614886,0.720514950166113,1.878875953365e-05,-4.136929111164811e-06,0.0
single__total,2024,aggregate_existing_predictions,False,2365,ok,0.5335489398135042,0.17955627061138107,0.7255813953488373,-5.6463322899324986e-05,-2.9611516113414726e-05,-0.00042283298097245403
single__total,2025,aggregate_existing_predictions,False,2331,ok,0.5419479010693896,0.1830408057807787,0.7138567138567139,8.563219979662584e-06,-2.2904527959832777e-06,-0.00042900042900040347
single__line_provider_count,2022,aggregate_existing_predictions,False,2481,ok,0.5161194807885333,0.1733262990147323,0.7303506650544136,-6.0729177773222176e-05,-1.5638369428166987e-05,0.0008061265618702906
single__line_provider_count,2023,aggregate_existing_predictions,False,2408,ok,0.5374806691369682,0.18164577463870196,0.720514950166113,-2.4077685674028793e-05,-9.272865580667311e-07,0.0
single__line_provider_count,2024,aggregate_existing_predictions,False,2365,ok,0.5335489709614721,0.17956185571410616,0.7268498942917547,-5.643217493134234e-05,-2.402641338833389e-05,0.0008456659619450191
single__line_provider_count,2025,aggregate_existing_predictions,False,2331,ok,0.5419001001700581,0.18303313219471398,0.7151437151437151,-3.923767935187783e-05,-9.964038860693636e-06,0.0008580008580008069
family__site_temporal,2022,aggregate_existing_predictions,False,2481,ok,0.5163702707621232,0.1734328363362119,0.7311567916162838,0.00019006079581662672,9.08989520514436e-05,0.0016122531237404703
family__site_temporal,2023,aggregate_existing_predictions,False,2408,ok,0.537543074273224,0.1816651268478248,0.7209302325581395,3.832745058174325e-05,1.842492256476369e-05,0.00041528239202648365
family__site_temporal,2024,aggregate_existing_predictions,False,2365,ok,0.5338100203041616,0.1796724273184922,0.7255813953488373,0.00020461716775810324,8.654519099771107e-05,-0.00042283298097245403
family__site_temporal,2025,aggregate_existing_predictions,False,2331,ok,0.5420222815406651,0.18307973275813416,0.7151437151437151,8.294369125516621e-05,3.663652455948574e-05,0.0008580008580008069
